x,y
-2.2213518,53.4548806
-2.2217898,53.456546
-2.225431,53.4559334
-2.2247733,53.4560861
-2.2242581,53.4562066
-2.2252166,53.4568693
-2.2172686,53.4543034
-2.2166791,53.4540378
-2.2193385,53.4539544
-2.2196442,53.4539114
-2.2197183,53.4541356
-2.220075,53.4540914
-2.2191972,53.4536372
-2.2248669,53.4573245
-2.2204016,53.4535036
-2.2189648,53.4577115
-2.2204593,53.4575496
-2.22208,53.4577037
-2.225177,53.4580064
-2.2266453,53.4576413
-2.224903,53.4575734
-2.2263368,53.4572357
-2.2220738,53.4514318
-2.2201725,53.4487905
-2.2182485,53.4466998
-2.2179605,53.4460494
-2.2183708,53.4441238
-2.2184769,53.4436672
-2.2210802,53.4388466
-2.2185155,53.4432128
-2.2220046,53.4380805
-2.2234685,53.4370987
-2.2249188,53.4361816
-2.2261981,53.4356804
-2.2272893,53.4351981
-2.2289665,53.4331828
-2.2295202,53.432733
-2.2615362,53.4754538
-2.2614515,53.475776
-2.2613544,53.4763629
-2.2612178,53.4752165
-2.2603638,53.4765297
-2.2590931,53.4772539
-2.2580195,53.4770889
-2.2569167,53.4768943
-2.258907,53.4756004
-2.2592939,53.4759441
-2.2543709,53.4764741
-2.2541878,53.4764497
-2.254513,53.4760636
-2.254834,53.4756266
-2.2551775,53.4753343
-2.2544812,53.4754666
-2.2545244,53.4759582
-2.2536261,53.4763458
-2.2585709,53.4803173
-2.2573033,53.4813293
-2.256821,53.4814729
-2.2566704,53.4815167
-2.2575731,53.482535
-2.2572566,53.4838412
-2.2575152,53.4833828
-2.2539713,53.4865068
-2.256345,53.4847321
-2.2533237,53.4868861
-2.2464971,53.488316
-2.2458235,53.4884214
-2.2419767,53.4893096
-2.2594884,53.4731793
-2.2605577,53.4738432
-2.2416581,53.4708688
-2.2412147,53.4705455
-2.2420253,53.4701502
-2.2422299,53.4702087
-2.2427043,53.4707446
-2.2426736,53.4707988
-2.2420757,53.4709913
-2.2425703,53.471201
-2.2388162,53.4714356
-2.2389203,53.4715141
-2.2374541,53.4716813
-2.2346742,53.4721219
-2.2259951,53.4736431
-2.2258048,53.4735175
-2.219819,53.4752017
-2.2195451,53.475462
-2.2193122,53.4754535
-2.2179671,53.4764607
-2.2177904,53.4766935
-2.2180737,53.4761306
-2.2178615,53.4770252
-2.2185964,53.4779735
-2.2186195,53.4781138
-2.229798,53.4740893
-2.2299189,53.4744106
